# Altitude (km), Pressure(atm), Temperature(K), [VMRs:] H2O, CO, SO2, HF, HCL, OCS, H2S, He
4.20000e+01 2.76600e+00 4.03500e+02 3.00000e-05 9.65000e-01 3.23000e-05 1.30000e-04 5.00000e-09 5.00000e-07 4.26000e-08 3.50000e-02 2.00000e-06 4.50000e-05
4.10000e+01 3.09480e+00 4.10000e+02 3.00000e-05 9.65000e-01 3.15000e-05 1.30000e-04 5.00000e-09 5.00000e-07 6.91000e-08 3.50000e-02 2.00000e-06 4.50000e-05
4.00000e+01 3.45610e+00 4.17600e+02 3.00000e-05 9.65000e-01 3.08000e-05 1.30000e-04 5.00000e-09 5.00000e-07 1.12000e-07 3.50000e-02 2.00000e-06 4.50000e-05
3.90000e+01 3.85290e+00 4.25100e+02 3.00000e-05 9.65000e-01 3.00000e-05 1.30000e-04 5.00000e-09 5.00000e-07 1.81000e-07 3.50000e-02 2.00000e-06 4.50000e-05
3.80000e+01 4.28630e+00 4.32500e+02 3.00000e-05 9.65000e-01 2.92000e-05 1.30000e-04 5.00000e-09 5.00000e-07 2.94000e-07 3.50000e-02 2.00000e-06 4.50000e-05
3.70000e+01 4.76010e+00 4.39900e+02 3.00000e-05 9.65000e-01 2.85000e-05 1.30000e-04 5.00000e-09 5.00000e-07 4.77000e-07 3.50000e-02 2.00000e-06 4.50000e-05
3.60000e+01 5.27740e+00 4.48000e+02 3.00000e-05 9.65000e-01 2.77000e-05 1.30000e-04 5.00000e-09 5.00000e-07 7.72000e-07 3.50000e-02 2.00000e-06 4.50000e-05
3.50000e+01 5.84110e+00 4.55500e+02 3.00000e-05 9.65000e-01 2.69000e-05 1.30000e-04 5.00000e-09 5.00000e-07 1.25000e-06 3.50000e-02 2.00000e-06 4.50000e-05
3.40000e+01 6.45310e+00 4.63400e+02 3.00000e-05 9.65000e-01 2.62000e-05 1.30000e-04 5.00000e-09 5.00000e-07 2.03000e-06 3.50000e-02 2.00000e-06 4.50000e-05
3.30000e+01 7.11850e+00 4.71700e+02 3.00000e-05 9.65000e-01 2.54000e-05 1.30000e-04 5.00000e-09 5.00000e-07 3.29000e-06 3.50000e-02 2.00000e-06 4.50000e-05
3.20000e+01 7.83810e+00 4.79900e+02 3.00000e-05 9.65000e-01 2.46000e-05 1.30000e-04 5.00000e-09 5.00000e-07 5.33000e-06 3.50000e-02 2.00000e-06 4.50000e-05
3.10000e+01 8.61700e+00 4.88300e+02 3.00000e-05 9.65000e-01 2.38000e-05 1.30000e-04 5.00000e-09 5.00000e-07 8.64000e-06 3.50000e-02 2.00000e-06 4.50000e-05
3.00000e+01 9.45800e+00 4.96900e+02 3.00000e-05 9.65000e-01 2.31000e-05 1.30000e-04 5.00000e-09 5.00000e-07 1.40000e-05 3.50000e-02 2.00000e-06 4.50000e-05
2.90000e+01 1.03650e+01 5.05600e+02 3.00000e-05 9.65000e-01 2.23000e-05 1.30000e-04 5.00000e-09 5.00000e-07 1.40000e-05 3.50000e-02 2.00000e-06 4.50000e-05
